market,feature_columns,target_columns,train_mse,train_mae,train_rmse,train_mape,train_mse_per_target,train_acc,test_mse,test_mae,test_rmse,test_mape,test_mse_per_target,test_acc
zx_processed_黄金_day.csv,"['1-4,6-10,15-17', '1-5,11-14', '1-4,18-29']",[1],"[385.1169497953834, 1548.6499580556667, 24.134093473541256]","[17.018019632611427, 31.725643249413636, 3.5587439166194255]","[19.624396800803417, 39.35289008517248, 4.912646280116375]","[5.969678349508902, 10.533430985960754, 1.1850737072774846]","[array([385.1169498]), array([1548.64995806]), array([24.13409347])]","[0.511049747467041, 0.511049747467041, 0.511049747467041]","[5395.181295978963, 18054.58932696464, 820.68010005449]","[59.89531581525039, 121.37492494822583, 17.58678089286112]","[73.45189783782965, 134.3673670463355, 28.647514727363177]","[12.26356406255432, 25.805390771302804, 3.4062281141986976]","[array([5395.18129598]), array([18054.58932696]), array([820.68010005])]","[0.539544939994812, 0.539544939994812, 0.539544939994812]"
zx_processed_黄金_day.csv,"['1-4,6-10,15-17', '1-5,11-14', '1-4,18-29']",[1],"[385.1202164284305, 1548.6502034721818, 24.1003023583378]","[17.018138365941972, 31.725649796923495, 3.5549468164135933]","[19.624480029504745, 39.35289320332346, 4.909205878585436]","[5.969731131752726, 10.53343354847669, 1.1834465313237612]","[array([385.12021643]), array([1548.65020347]), array([24.10030236])]","[0.511049747467041, 0.511049747467041, 0.511049747467041]","[5395.151643272971, 18054.590546140782, 821.7560339788884]","[59.89506086287236, 121.37492851908004, 17.599119814272704]","[73.45169598636217, 134.36737158306246, 28.66628741185172]","[12.263505167142903, 25.805391477189982, 3.4085700188918]","[array([5395.15164327]), array([18054.59054614]), array([821.75603398])]","[0.539544939994812, 0.539544939994812, 0.539544939994812]"
